dyad,composition,queried
56364-66850,Male-Male,0.21907001044932078
45981-38174,Male-Male,0.628383190883191
91665-36242,Male-Male,0.09613770140223143
10101-83343,Male-Female,0.0
86423-32256,Male-Female,0.08975659229208925
84379-84946,Male-Female,0.12260442260442254
56385-93983,Male-Female,0.2384479846529182
32111-69609,Male-Female,0.06874375624375623
94386-40237,Male-Female,0.9602960102960103
23585-52205,Male-Female,0.6089998247951529
18067-91921,Male-Female,0.3016008141762452
28141-21409,Male-Female,0.5316220238095237
15349-95103,Female-Female,0.6863124280467079
13761-83580,Female-Female,0.20581797235023042
76079-87480,Female-Female,0.8741258741258742
78126-35572,Female-Female,0.06034482758620687
13364-56585,Female-Female,0.8511618589743589
12379-51238,Female-Female,0.42016956162117447
42404-27703,Female-Female,0.8285801186416595
